Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Current (A),Channel 2 DC Current (A),Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Current (A),Total DC Gate Current (A),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
2000,12,3,6.31209958,34.58435687,28.27225729,1.126910355,0,13.52292426,0,1.126910355,0,13.52292426,0,21.25030028,21.21866735
2000,12,3,7.31209958,34.57521113,27.26311155,1.117115135,0,13.40538161,0,1.117115135,0,13.40538161,0,21.39153411,21.35136143
2000,12,3,8.31209958,34.50596389,26.19386431,1.104054841,0,13.24865809,0,1.104054841,0,13.24865809,0,21.30220189,21.25102922
2000,12,3,9.31209958,34.46937999,25.15728041,1.094912635,0,13.13895162,0,1.094912635,0,13.13895162,0,21.29988629,21.23492581
3000,12,3,-30.85282379,4.49467579,35.34749958,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.024458427,0.024451287
3000,12,3,-29.85282379,5.670571481,35.52339527,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.032064029,0.03205504
3000,12,3,-28.85282379,6.681100045,35.53392384,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.040464199,0.040452883
3000,12,3,-27.85282379,7.574784432,35.42760822,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.049709499,0.049695253
3000,12,3,-26.85282379,8.596509133,35.44933292,0.95778055,0,11.49336659,0,0.95778055,0,11.49336659,0,0.062980145,0.062962186
3000,12,3,-25.85282379,9.562050973,35.41487476,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.07855359,0.078531012
3000,12,3,-24.85282379,10.67784992,35.53067371,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.101565435,0.101537011
3000,12,3,-23.85282379,11.66560474,35.51842853,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.127416543,0.127380784
3000,12,3,-22.85282379,12.60240284,35.45522663,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.158090447,0.158045429
3000,12,3,-21.85282379,13.61890141,35.4717252,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.199781598,0.199724924
3000,12,3,-20.85282379,14.5439407,35.39676449,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.247038143,0.246966844
3000,12,3,-19.85282379,15.63622013,35.48904392,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.317465665,0.317375965
3000,12,3,-18.85282379,16.63050762,35.48333141,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.399140237,0.399027312
3000,12,3,-17.85282379,17.61434284,35.46716663,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.499941613,0.499799641
3000,12,3,-16.85282379,18.58249966,35.43532345,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.624367556,0.624188945
3000,12,3,-15.85282379,19.62643543,35.47925922,0.964310597,0,11.57172716,0,0.964310597,0,11.57172716,0,0.792949187,0.792724634
3000,12,3,-14.85282379,20.60112492,35.45394871,0.965616626,0,11.58739951,0,0.965616626,0,11.58739951,0,0.991120618,0.990838305
