Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,844,4.496007912,-20.3778038,40.97955322,6.063472271,-9.842577934,-24.09480095,0,4.536002583,39.87368011
0,0,845,4.488787157,-20.39257431,40.83363724,6.097900867,-0.486397475,-24.07910347,0,4.528645411,38.28271484
0,0,846,4.481987863,-20.40468025,40.68574905,6.154168606,8.887646675,-24.06331825,0,4.521734657,36.69039536
0,0,847,4.475626658,-20.41689301,40.5382576,6.216982841,18.28102875,-24.04742432,0,4.515261327,35.09677887
0,0,848,4.468751239,-20.42551613,40.39232254,6.258862972,27.69356728,-24.03236961,0,4.50830693,33.50180817
0,0,849,4.461240904,-20.4350071,40.24894714,6.264901638,37.12664795,-24.01827049,0,4.500709852,31.90552139
0,0,850,4.45320002,-20.44950104,40.10860062,6.246525288,46.58085251,-24.00501823,0,4.492536869,30.30788803
0,0,851,4.444604685,-20.4715519,39.97140503,6.19726944,56.05167007,-23.99263573,0,4.483741411,28.70892143
0,0,852,4.435451984,-20.50128365,39.83750153,6.122586727,65.54571533,-23.98113823,0,4.474320497,27.10862732
0,0,853,4.425872038,-20.53583908,39.7069931,6.03362751,75.06163788,-23.9704113,0,4.464431142,25.50702095
0,0,854,4.415739385,-20.57015991,39.57955933,5.927403927,84.59663391,-23.96059608,0,4.45399363,23.90407562
0,0,855,4.405287145,-20.5994072,39.4546051,5.835294724,94.15933228,-23.95147514,0,4.443283508,22.29976654
0,0,856,4.394654976,-20.61970139,39.33107758,5.767921925,103.7461929,-23.9429245,0,4.432473425,20.69411087
0,0,857,4.383601066,-20.62973595,39.20636368,5.736476421,113.3520966,-23.93520164,0,4.421331856,19.08709335
0,0,858,4.372455811,-20.62901688,39.07385635,5.737852097,122.9718323,-23.92799187,0,4.410192875,17.47873306
0,0,859,4.361255871,-20.61693764,38.92917633,5.771473408,132.6116028,-23.92127419,0,4.399098501,15.86900234
0,0,860,4.349931097,-20.59370995,38.77735519,5.789149284,142.2654724,-23.91513443,0,4.387977557,14.25792503
0,0,861,4.338580175,-20.56039238,38.62468338,5.777349472,151.9428253,-23.90948486,0,4.376920933,12.64549351
0,0,862,4.327326731,-20.51895332,38.47343063,5.750034809,161.6381531,-23.90419388,0,4.36603672,11.03175163
0,0,863,4.316074131,-20.47332191,38.32538223,5.692926884,171.3501434,-23.8993454,0,4.355194837,9.416687012
0,0,864,4.304674238,-20.42864799,38.18100357,5.62211132,-178.9174805,-23.89507484,0,4.344201284,7.800273418
0,0,865,4.293383276,-20.39031792,38.04087448,5.553419113,-169.1648254,-23.89111328,0,4.333262339,6.182515144
0,0,866,4.282072184,-20.36126518,37.90527725,5.491300583,-159.3957214,-23.88757706,0,4.322220159,4.563431263
0,0,867,4.270831246,-20.34012604,37.77433777,5.446408272,-149.6047821,-23.88436317,0,4.311176029,2.943062305
0,0,868,4.25967445,-20.32274246,37.64831161,5.417764664,-139.7921143,-23.88144493,0,4.300181803,1.321360588
0,0,869,4.248474644,-20.30406189,37.52752304,5.406526089,-129.9520264,-23.87893677,0,4.289157428,-0.301653504
0,0,870,4.237379329,-20.28019524,37.41144562,5.417143822,-120.0957642,-23.87667847,0,4.278287361,-1.925997853
0,0,871,4.226404948,-20.2474308,37.30050659,5.441569805,-110.2200165,-23.87464142,0,4.267624244,-3.551684856
0,0,872,4.215602537,-20.20381165,37.19444656,5.468989849,-100.3243942,-23.87276459,0,4.257239913,-5.178693771
0,0,873,4.204930217,-20.1470356,37.09171295,5.483779907,-90.40790558,-23.8710804,0,4.247118169,-6.806996346
0,0,874,4.194477717,-20.07674599,36.98277283,5.47896719,-80.47615814,-23.86948967,0,4.237357436,-8.436656952
0,0,875,4.18437291,-19.99218941,36.8294754,5.462225914,-70.52764893,-23.86785507,0,4.228099931,-10.06762791
0,0,876,4.174352666,-19.89444351,36.67570496,5.435767651,-60.56692886,-23.86643028,0,4.219080144,-11.69990444
0,0,877,4.164668836,-19.7883091,36.52601624,5.4106884,-50.5920372,-23.86495399,0,4.210508706,-13.33345318
0,0,878,4.155142213,-19.68247414,36.38154984,5.392681599,-40.59498978,-23.86359596,0,4.202119033,-14.96825695
0,0,879,4.145635548,-19.58756256,36.24277496,5.383346558,-30.58264351,-23.86248398,0,4.193656069,-16.60437965
0,0,880,4.136326307,-19.50747681,36.10941315,5.380177498,-20.54388428,-23.86143112,0,4.185245615,-18.24174881
0,0,881,4.127174846,-19.44112206,35.98160172,5.38658762,-10.48825932,-23.860466,0,4.176851642,-19.88038254
0,0,882,4.118194332,-19.38402367,35.85916519,5.399245262,-0.411519676,-23.85955811,0,4.168532385,-21.52030182
0,0,883,4.109293352,-19.33019638,35.74216843,5.418017864,9.688243866,-23.85877991,0,4.160262886,-23.16151619
0,0,884,4.10052355,-19.27374077,35.63033295,5.445141792,19.80114174,-23.85806084,0,4.152163962,-24.80400848
0,0,885,4.091881251,-19.21014595,35.52344894,5.473752499,29.93470764,-23.85738564,0,4.144288025,-26.44775772
0,0,886,4.083402839,-19.13572121,35.42140961,5.519002914,40.08145523,-23.85669899,0,4.136721026,-28.09278488
0,0,887,4.075107528,-19.04748917,35.32348633,5.549815655,50.24192047,-23.85596275,0,4.1295269,-29.73910522
0,0,888,4.06697448,-18.94311905,35.2289772,5.578091621,60.41931534,-23.85517883,0,4.122726038,-31.38669395
0,0,889,4.058826454,-18.82068443,35.13580322,5.608263969,70.61152649,-23.85450554,0,4.116182674,-33.03553009
0,0,890,4.050827623,-18.67954636,35.03887939,5.639378071,80.81645203,-23.85375977,0,4.110091423,-34.68564987
0,0,891,4.042711269,-18.52586937,34.9253006,5.675415516,91.0380249,-23.85319328,0,4.104124852,-36.33703232
0,0,892,4.034444046,-18.37427902,34.79777527,5.706889629,101.2761002,-23.85284042,0,4.098055172,-37.98965454
0,0,893,4.026112939,-18.23964882,34.66880035,5.742800236,111.534584,-23.85261917,0,4.091742085,-39.64353943
0,0,894,4.017753433,-18.1239357,34.54172516,5.770462513,121.8151932,-23.85249901,0,4.085168526,-41.29864883
0,0,895,4.009267502,-18.02486038,34.41773605,5.792742252,132.1135559,-23.85258293,0,4.078250626,-42.95500565
0,0,896,4.000549487,-17.93708229,34.2975769,5.812476635,142.4338074,-23.85298157,0,4.070952538,-44.61257935
0,0,897,3.991859942,-17.85360909,34.18135452,5.810145378,152.7730865,-23.85343933,0,4.06364061,-46.27138519
0,0,898,3.983184763,-17.76817322,34.06895065,5.802989483,163.1315765,-23.8539753,0,4.056403593,-47.931427
0,0,899,3.974347719,-17.67476845,33.96099091,5.79008007,173.504303,-23.85477066,0,4.049172132,-49.59269714
0,0,900,3.965616994,-17.56786728,33.85691833,5.78963089,-176.1055756,-23.85556221,0,4.04232262,-51.2551651
0,0,901,3.956949977,-17.44407845,33.75662613,5.790572643,-165.7042084,-23.85639954,0,4.035893713,-52.91888428
0,0,902,3.948287321,-17.29849815,33.65978622,5.819554806,-155.2893066,-23.85735703,0,4.029947648,-54.58381271
0,0,903,3.939653705,-17.13032341,33.56594849,5.870990753,-144.8601685,-23.85842705,0,4.024569966,-56.24998093
0,0,904,3.93094983,-16.9477272,33.47340393,5.940494061,-134.4151611,-23.85972595,0,4.0195499,-57.91736221
