Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,1941,11.43096889,-14.11554813,141.17099,0.871376038,71.91992188,-23.24065399,0,11.60267531,121.2732162
0,0,1942,11.43174483,-14.15066433,142.9712067,0.937364519,80.08457947,-23.24680519,0,11.60204099,118.3323975
0,0,1943,11.43224767,-14.18179703,144.7774048,0.981740892,88.25370026,-23.25337601,0,11.60130343,115.3903351
0,0,1944,11.43293497,-14.21510601,146.5896454,0.982675433,96.42532349,-23.25992393,0,11.60067382,112.4470825
0,0,1945,11.4337417,-14.2554388,148.4081421,0.991686523,104.5953598,-23.26652908,0,11.59989993,109.5025635
0,0,1946,11.43452844,-14.30512619,150.2333374,1.04773581,112.765007,-23.27334595,0,11.59876029,106.5568466
0,0,1947,11.43543613,-14.36687565,152.06604,1.149471045,120.9078293,-23.28024864,0,11.59730565,103.6098709
0,0,1948,11.43651991,-14.44308567,153.9088593,1.252132058,129.0382538,-23.28719711,0,11.59552154,100.6616974
0,0,1949,11.43798558,-14.53539658,155.7733002,1.334179282,137.1627808,-23.29400063,0,11.5935826,97.71234131
0,0,1950,11.43958881,-14.64593887,157.671875,1.413721681,145.2856598,-23.30091858,0,11.59120628,94.76176453
0,0,1951,11.44142577,-14.77355957,159.5868683,1.479710937,153.4059601,-23.3078537,0,11.58857743,91.81004333
0,0,1952,11.44339248,-14.91085529,161.5112762,1.530485749,161.5118256,-23.31484413,0,11.58588896,88.85905457
0,0,1953,11.44538215,-15.03944302,163.4435272,1.585662007,169.6102448,-23.32191467,0,11.58365448,85.90874481
0,0,1954,11.44770377,-15.1444664,165.3834991,1.618745446,177.704071,-23.32867432,0,11.58262057,82.95909119
0,0,1955,11.44987288,-15.2270298,167.3315735,1.64107573,-174.2073975,-23.33552551,0,11.58220991,80.01008606
