Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-180,0,2320,-7.66048361,-12.40042125,0,-7.403120195
-180,0,2335,-9.202523844,-13.89256731,0,-9.021580192
-180,0,2350,-7.77373499,-14.38343657,0,-7.612493129
-180,0,2365,-6.001067777,-13.47477317,0,-5.801426274
-180,0,2380,-5.162743416,-14.1106244,0,-4.99083831
-180,0,2395,-3.765006681,-15.33705264,0,-3.636029782
-180,0,2410,-2.649800826,-13.37952373,0,-2.445626726
-180,0,2425,-2.443763947,-12.06321525,0,-2.164940446
-180,0,2440,-2.799072002,-12.0459662,0,-2.519102338
-180,0,2455,-2.826978213,-10.40609851,0,-2.412267751
-180,0,2470,-2.734683352,-9.218828816,0,-2.180959138
-180,0,2485,-2.124385558,-9.407621711,0,-1.595711857
-180,0,2500,-2.2605681,-8.430796614,0,-1.5877271
-180,0,2515,-1.920271623,-8.213524942,0,-1.209934196
-180,0,2530,-2.144138269,-8.577280015,0,-1.495367774
-180,0,2545,-2.217154494,-8.443078115,0,-1.546368151
-180,0,2560,-2.418871466,-8.809774019,0,-1.806423042
-180,0,2575,-2.41640748,-9.847975914,0,-1.941607773
-180,0,2590,-3.346437081,-10.54918382,0,-2.945807096
-180,0,2605,-3.47733984,-10.58686584,0,-3.080334078
-180,0,2620,-4.240266473,-9.83679407,0,-3.764173107
-180,0,2635,-4.860312886,-9.35979004,0,-4.32540864
-180,0,2650,-6.366105743,-8.494016159,0,-5.703769194
-180,0,2665,-7.376020701,-7.182863152,0,-6.453898173
-180,0,2680,-8.37283664,-7.069794108,0,-7.423531335
-180,0,2695,-14.13912418,-7.064144362,0,-13.18843744
-180,0,2710,-12.2408029,-6.532792037,0,-11.14954873
-180,0,2725,-14.9790922,-7.031735311,0,-14.02043762
-180,0,2740,-12.03769719,-8.166185349,0,-11.31889338
-180,0,2755,-14.44672441,-8.413460615,0,-13.77097158
-180,0,2770,-10.30773025,-8.980175907,0,-9.720515891
-180,0,2785,-14.40416224,-9.419775897,0,-13.87705942
-180,0,2800,-7.293539258,-8.698701084,0,-6.664018435
-180,0,2815,-7.172793017,-7.515630563,0,-6.325793505
-180,0,2830,-6.712031316,-7.167899636,0,-5.78636159
-180,0,2845,-8.442115248,-6.920747746,0,-7.455604621
-180,0,2860,-7.63302183,-6.946860926,0,-6.653145567
-180,0,2875,-9.700136097,-7.349758635,0,-8.816572333
-180,0,2890,-10.95288128,-7.781885742,0,-10.16114346
-180,0,2905,-11.24572856,-9.238843589,0,-10.69471894
-180,0,2920,-7.948917911,-9.723351504,0,-7.459487577
-180,0,2935,-7.305908918,-7.904878744,0,-6.538354689
